Unnamed: 0,method,number,orbital_period,mass,distance,year
0,Radial Velocity,1,269.3,7.1,77.4,2006
1,Radial Velocity,1,874.774,2.21,56.95,2008
2,Radial Velocity,1,763.0,2.6,19.84,2011
3,Radial Velocity,1,326.03,19.4,110.62,2007
4,Radial Velocity,1,516.22,10.5,119.47,2009
5,Radial Velocity,1,185.84,4.8,76.39,2008
6,Radial Velocity,1,1773.4,4.64,18.15,2002
8,Radial Velocity,1,993.3,10.3,73.1,2008
9,Radial Velocity,2,452.8,1.99,74.79,2010
10,Radial Velocity,2,883.0,0.86,74.79,2010
11,Radial Velocity,1,335.1,9.88,39.43,2009
12,Radial Velocity,1,479.1,3.88,97.28,2008
13,Radial Velocity,3,1078.0,2.53,14.08,1996
14,Radial Velocity,3,2391.0,0.54,14.08,2001
15,Radial Velocity,3,14002.0,1.64,14.08,2009
16,Radial Velocity,1,4.230785,0.472,15.36,1995
17,Radial Velocity,5,14.651,0.8,12.53,1996
18,Radial Velocity,5,44.38,0.165,12.53,2004
19,Radial Velocity,5,4909.0,3.53,12.53,2002
21,Radial Velocity,5,261.2,0.172,12.53,2007
22,Radial Velocity,3,4.215,0.016,8.52,2009
23,Radial Velocity,3,38.021,0.057,8.52,2009
24,Radial Velocity,3,123.01,0.072,8.52,2009
27,Radial Velocity,1,952.7,5.3,97.18,2008
28,Radial Velocity,1,181.4,3.2,45.52,2013
45,Radial Velocity,1,380.8,1.8,20.21,2010
46,Radial Velocity,1,3.2357,0.0036,1.35,2012
48,Radial Velocity,1,2502.0,1.55,3.22,2000
50,Radial Velocity,1,594.9,7.6,47.53,2006
51,Radial Velocity,1,428.5,8.78,38.52,2009
52,Radial Velocity,1,903.3,1.85,13.79,2003
55,Radial Velocity,1,136.75,2.8,62.66,2007
58,Radial Velocity,1,277.02,1.7,80.64,2013
61,Radial Velocity,1,39.845,1.04,17.43,1997
62,Radial Velocity,1,3.3135,3.9,15.6,1996
63,Radial Velocity,1,305.5,20.6,92.51,2013
64,Radial Velocity,4,4.617033,0.6876,13.47,1996
65,Radial Velocity,4,241.258,1.981,13.47,1999
66,Radial Velocity,4,1276.46,4.132,13.47,1999
67,Radial Velocity,4,3848.86,1.059,13.47,2010
76,Radial Velocity,1,655.6,5.1,37.54,2008
79,Radial Velocity,2,5.6,0.045,42.09,2009
80,Radial Velocity,2,237.6,0.33,42.09,2009
81,Radial Velocity,2,3.8728,0.027,20.1,2013
82,Radial Velocity,2,125.94,0.17,20.1,2013
83,Radial Velocity,1,268.94,1.47,50.03,2009
84,Radial Velocity,1,137.48,1.11,175.44,2013
114,Radial Velocity,1,15.76491,3.91,10.91,1999
115,Radial Velocity,3,8.631,0.035,14.97,2013
116,Radial Velocity,3,25.6,0.024,14.97,2013
117,Radial Velocity,3,603.0,0.079,14.97,2013
118,Radial Velocity,1,2288.0,0.82,12.12,2009
119,Radial Velocity,2,692.0,1.894,15.1,2007
120,Radial Velocity,2,7100.0,1.6,15.1,2011
121,Radial Velocity,1,4100.0,2.3,20.03,2013
122,Radial Velocity,1,7.3709,0.018,9.04,2011
125,Radial Velocity,4,5.36874,0.049,6.27,2005
126,Radial Velocity,4,12.9292,0.017,6.27,2005
127,Radial Velocity,4,66.8,0.022,6.27,2005
128,Radial Velocity,4,3.14942,0.006,6.27,2005
129,Radial Velocity,1,598.3,0.328,10.32,2009
130,Radial Velocity,6,7.2004,0.018,6.8,2011
131,Radial Velocity,6,28.14,0.012,6.8,2011
132,Radial Velocity,6,91.61,0.016,6.8,2013
133,Radial Velocity,6,62.24,0.008,6.8,2013
134,Radial Velocity,6,39.026,0.008,6.8,2013
135,Radial Velocity,6,256.2,0.014,6.8,2013
136,Radial Velocity,1,4.6938,0.035,4.54,2007
137,Radial Velocity,3,1050.3,4.95,16.13,2010
138,Radial Velocity,3,3.6,0.014,16.13,2012
139,Radial Velocity,3,35.37,0.036,16.13,2012
140,Radial Velocity,1,3416.0,0.64,4.94,2008
141,Radial Velocity,1,1845.0,0.91,8.77,2006
142,Radial Velocity,4,61.1166,2.2756,4.7,1998
143,Radial Velocity,4,30.0881,0.7142,4.7,2000
144,Radial Velocity,4,1.93778,0.021,4.7,2005
145,Radial Velocity,4,124.26,0.046,4.7,2010
147,Radial Velocity,1,133.71,3.37,17.62,2000
149,Radial Velocity,1,2.64561,0.022,19.8,2010
161,Radial Velocity,2,428.5,15.2,214.0,2009
166,Radial Velocity,2,5584.0,3.4,90.0,2010
181,Radial Velocity,2,1022.0,3.4,354.0,2011
198,Radial Velocity,2,349.7,1.25,25.64,2001
199,Radial Velocity,2,6005.0,5.3,25.64,2012
200,Radial Velocity,2,5.7727,0.024,23.44,2009
201,Radial Velocity,2,13.505,0.0186,23.44,2011
202,Radial Velocity,1,431.8,3.1,167.5,2011
203,Radial Velocity,1,533.0,6.1,7.01,2010
204,Radial Velocity,1,1183.0,4.9,89.85,2002
205,Radial Velocity,1,3.4442,0.48,53.71,2005
206,Radial Velocity,1,311.6,1.6,115.21,2013
207,Radial Velocity,1,62.218,0.229,11.11,2003
208,Radial Velocity,1,526.62,1.56,44.05,2007
209,Radial Velocity,1,829.0,0.8,32.7,2001
210,Radial Velocity,1,15.609,0.0405,21.85,2005
211,Radial Velocity,1,431.88,2.07,77.82,2001
212,Radial Velocity,1,356.0,2.3,131.41,2009
213,Radial Velocity,2,360.2,2.37,56.5,2012
214,Radial Velocity,2,2732.0,2.37,56.5,2012
215,Radial Velocity,1,675.0,1.94,100.0,2007
216,Radial Velocity,1,777.0,1.96,53.28,2009
218,Radial Velocity,1,177.11,7.6,150.6,2011
219,Radial Velocity,1,22.09,0.48,40.32,2003
220,Radial Velocity,1,2496.0,1.65,55.01,2009
221,Radial Velocity,1,615.0,0.29,35.88,2011
222,Radial Velocity,2,1275.0,1.11,38.52,2011
223,Radial Velocity,2,4046.0,2.0,38.52,2011
224,Radial Velocity,1,5.3978,0.029,16.82,2008
225,Radial Velocity,1,1313.0,0.63,56.34,2010
226,Radial Velocity,1,227.0,1.8,44.15,2002
227,Radial Velocity,1,1634.0,14.2,38.26,2009
228,Radial Velocity,2,30.052,0.7,52.85,2009
229,Radial Velocity,2,192.9,1.82,52.85,2009
230,Radial Velocity,6,5.75962,0.041,39.39,2010
231,Radial Velocity,6,16.3567,0.038,39.39,2010
232,Radial Velocity,6,49.747,0.08,39.39,2010
233,Radial Velocity,6,122.72,0.074,39.39,2010
234,Radial Velocity,6,602.0,0.067,39.39,2010
235,Radial Velocity,6,2248.0,0.205,39.39,2010
236,Radial Velocity,1,989.2,0.94,17.35,2006
237,Radial Velocity,1,1075.2,6.21,32.56,1999
238,Radial Velocity,2,1270.2,3.44,53.82,2007
239,Radial Velocity,2,170.455,0.82,53.82,2008
240,Radial Velocity,1,711.0,6.54,66.49,2005
241,Radial Velocity,2,1945.0,0.622,33.98,2005
242,Radial Velocity,2,37.91,0.0788,33.98,2008
243,Radial Velocity,2,262.709,2.3,37.16,2000
244,Radial Velocity,2,1708.0,1.92,37.16,2002
245,Radial Velocity,1,471.6,14.0,300.3,2005
246,Radial Velocity,2,14.182,0.0325,28.6,2011
247,Radial Velocity,2,53.832,0.036,28.6,2011
248,Radial Velocity,2,19.382,0.865,66.89,2013
249,Radial Velocity,2,931.0,5.13,66.89,2013
250,Radial Velocity,1,4218.0,1.88,45.52,2009
251,Radial Velocity,1,75.523,0.26,35.91,2000
252,Radial Velocity,1,17.24,0.0696,25.54,2008
253,Radial Velocity,1,990.0,4.4,59.84,2009
254,Radial Velocity,1,465.1,14.3,50.18,2009
257,Radial Velocity,1,772.0,2.7,127.88,2011
258,Radial Velocity,1,466.2,1.37,22.38,2003
259,Radial Velocity,2,11.849,0.0378,43.08,2011
260,Radial Velocity,2,33.823,0.0422,43.08,2011
261,Radial Velocity,1,500.0,1.07,27.13,2002
262,Radial Velocity,3,18.315,0.0085,6.06,2011
263,Radial Velocity,3,40.114,0.00755,6.06,2011
264,Radial Velocity,3,90.309,0.0151,6.06,2011
265,Radial Velocity,2,29.15,0.0379,35.89,2011
266,Radial Velocity,2,85.131,0.0496,35.89,2011
267,Radial Velocity,1,591.9,1.9,36.02,2006
268,Radial Velocity,1,380.85,1.99,44.5,2008
269,Radial Velocity,2,22.656,0.0322,32.31,2011
270,Radial Velocity,2,53.881,0.06472,32.31,2011
271,Radial Velocity,1,1214.0,1.5,89.13,2006
272,Radial Velocity,1,738.459,2.61,34.6,2001
273,Radial Velocity,1,528.07,13.65,31.79,2011
274,Radial Velocity,1,1561.0,7.71,51.97,2003
275,Radial Velocity,1,3668.0,4.01,46.51,2006
276,Radial Velocity,1,1845.0,0.95,56.05,2010
277,Radial Velocity,1,423.841,1.28,18.24,2000
278,Radial Velocity,1,2208.0,1.45,44.54,2012
279,Radial Velocity,1,17.991,0.62,42.37,2005
280,Radial Velocity,1,1117.0,1.16,56.18,2010
281,Radial Velocity,1,385.9,5.59,39.56,2001
282,Radial Velocity,1,387.1,1.7,168.92,2011
283,Radial Velocity,1,2819.654,9.17,54.71,2002
284,Radial Velocity,1,1159.2,1.373,26.5,2009
285,Radial Velocity,1,912.0,1.8,121.07,2011
286,Radial Velocity,1,466.0,0.5,53.82,2010
287,Radial Velocity,3,16.546,0.0363,38.01,2011
288,Radial Velocity,3,51.284,0.0498,38.01,2011
289,Radial Velocity,3,274.49,0.0519,38.01,2011
290,Radial Velocity,1,326.6,1.3,136.8,2011
291,Radial Velocity,1,18.179,0.33,86.88,2006
292,Radial Velocity,1,157.54,3.04,117.37,2009
293,Radial Velocity,1,1049.0,0.79,45.01,2009
294,Radial Velocity,1,388.0,9.1,20.98,2005
296,Radial Velocity,3,154.46,0.61,33.24,2002
297,Radial Velocity,3,2295.0,0.683,33.24,2002
298,Radial Velocity,3,843.6,0.624,33.24,2005
299,Radial Velocity,1,2063.818,10.35,18.21,2001
300,Radial Velocity,2,55.0,2.3,42.88,2004
301,Radial Velocity,2,2720.0,3.366,42.88,2012
302,Radial Velocity,3,5.6363,0.0117,25.59,2011
303,Radial Velocity,3,14.025,0.0187,25.59,2011
304,Radial Velocity,3,33.941,0.0162,25.59,2011
305,Radial Velocity,2,14.3098,0.839,42.43,2000
306,Radial Velocity,2,2140.2,13.38,42.43,2000
307,Radial Velocity,1,696.3,10.7,99.4,2009
308,Radial Velocity,1,407.15,0.0961,15.56,2011
309,Radial Velocity,6,4.3123,0.0126,12.83,2008
310,Radial Velocity,6,9.6184,0.0208,12.83,2008
311,Radial Velocity,6,20.432,0.0299,12.83,2008
312,Radial Velocity,6,34.62,0.011,12.83,2012
313,Radial Velocity,6,51.76,0.0164,12.83,2012
314,Radial Velocity,6,197.8,0.0223,12.83,2012
315,Radial Velocity,1,264.15,4.01,33.33,2002
316,Radial Velocity,1,963.0,2.54,43.03,2004
317,Radial Velocity,1,1.3283,18.37,43.03,2003
318,Radial Velocity,2,18.357,0.039,52.03,2013
319,Radial Velocity,2,25.648,0.027,52.03,2013
320,Radial Velocity,1,327.8,0.6,54.94,2010
321,Radial Velocity,1,2371.0,25.0,37.05,2008
322,Radial Velocity,1,36.96,2.49,93.2,2007
323,Radial Velocity,1,472.0,0.58,50.43,2010
324,Radial Velocity,1,5.8872,0.04,22.04,2011
325,Radial Velocity,2,226.93,0.1872,32.58,2008
326,Radial Velocity,2,342.85,0.6579,32.58,2008
327,Radial Velocity,1,890.76,1.79,48.95,2004
328,Radial Velocity,1,43.6,0.47,36.14,2008
329,Radial Velocity,1,3.024,0.249,33.41,2000
330,Radial Velocity,2,4.0845,0.07167,37.84,2008
331,Radial Velocity,2,1353.6,0.35061,37.84,2008
332,Radial Velocity,2,430.0,5.0,121.36,2002
333,Radial Velocity,2,2500.0,7.0,121.36,2008
334,Radial Velocity,1,700.0,1.16,87.41,2008
335,Radial Velocity,1,4.9437,0.115,40.73,2002
336,Radial Velocity,1,2582.7,1.71,47.26,2005
337,Radial Velocity,1,1279.0,4.9,31.03,2002
338,Radial Velocity,2,14.07,0.0413,34.07,2011
339,Radial Velocity,2,95.415,0.0565,34.07,2011
340,Radial Velocity,1,118.96,1.13,28.07,2000
341,Radial Velocity,1,303.0,5.25,92.51,2003
342,Radial Velocity,2,201.83,3.1548,25.7,2008
343,Radial Velocity,2,607.06,7.4634,25.7,2008
344,Radial Velocity,1,2.817822,0.38,35.8,2005
345,Radial Velocity,1,589.64,2.9,10.34,2006
346,Radial Velocity,1,358.0,0.64,32.62,2009
347,Radial Velocity,2,572.4,1.26,35.59,2003
348,Radial Velocity,2,152.6,0.17,35.59,2011
349,Radial Velocity,1,480.5,6.0,80.06,2012
350,Radial Velocity,1,1973.0,2.82,55.04,2005
351,Radial Velocity,1,6.276,1.9,58.82,2001
352,Radial Velocity,3,8.667,0.033,12.58,2006
353,Radial Velocity,3,31.56,0.038,12.58,2006
354,Radial Velocity,3,197.0,0.058,12.58,2006
356,Radial Velocity,1,2231.0,2.0,28.76,2003
357,Radial Velocity,1,3383.0,3.15,51.36,2002
358,Radial Velocity,1,1260.0,3.06,53.05,2008
359,Radial Velocity,1,2.54858,1.87,36.52,2003
360,Radial Velocity,2,188.9,2.25,94.61,2002
361,Radial Velocity,2,379.1,2.25,94.61,2005
362,Radial Velocity,1,1800.0,1.15,96.99,2008
363,Radial Velocity,3,51.645,1.8,64.56,2003
364,Radial Velocity,3,2473.0,8.06,64.56,2003
365,Radial Velocity,3,346.6,0.396,64.56,2007
366,Radial Velocity,1,3.51,0.42,28.94,1999
367,Radial Velocity,1,418.2,2.51,80.58,2007
368,Radial Velocity,1,3.971,0.197,59.7,2002
370,Radial Velocity,1,1966.1,1.34,48.64,2011
372,Radial Velocity,1,1001.7,6.86,32.56,2005
373,Radial Velocity,1,184.02,2.7,88.26,2007
376,Radial Velocity,1,705.0,1.3,112.23,2011
377,Radial Velocity,1,2.985625,0.4,43.53,2002
378,Radial Velocity,1,788.0,0.132,33.96,2009
379,Radial Velocity,1,58.43,0.01133,11.15,2011
380,Radial Velocity,1,2.1375,1.5,91.16,2006
381,Radial Velocity,1,1695.0,0.92,42.48,2009
382,Radial Velocity,1,1475.0,7.0,72.57,2009
383,Radial Velocity,1,2754.0,1.78,18.06,2009
384,Radial Velocity,1,3.416,0.22,74.46,2004
385,Radial Velocity,1,2157.0,1.78,30.88,2009
386,Radial Velocity,1,256.78,8.44,38.99,1999
387,Radial Velocity,1,49.77,0.057,22.09,2009
388,Radial Velocity,1,325.81,3.86,32.32,2000
389,Radial Velocity,1,143.58,0.37,28.9,2005
390,Radial Velocity,2,13.186,0.0263,42.52,2011
391,Radial Velocity,2,46.025,0.0318,42.52,2011
393,Radial Velocity,1,507.0,1.2,149.03,2009
394,Radial Velocity,1,361.1,0.9,132.8,2011
395,Radial Velocity,1,498.9,0.68,84.03,2009
396,Radial Velocity,1,647.3,4.0,221.24,2011
397,Radial Velocity,2,8.1256,0.0284,26.21,2011
398,Radial Velocity,2,103.49,0.04,26.21,2011
399,Radial Velocity,1,9.494,0.026,21.3,2010
400,Radial Velocity,1,436.9,1.8,150.38,2011
401,Radial Velocity,1,4951.0,6.8,42.77,2012
402,Radial Velocity,1,439.3,0.502,60.46,2005
403,Radial Velocity,2,17.054,0.087,17.99,2004
404,Radial Velocity,2,4970.0,0.36,17.99,2010
405,Radial Velocity,1,868.0,1.4,130.89,2011
406,Radial Velocity,1,157.57,1.7,140.85,2011
407,Radial Velocity,1,383.7,1.16,52.8,2007
408,Radial Velocity,1,70.46,0.3,30.5,2005
409,Radial Velocity,1,20.8133,0.172,42.0,2005
410,Radial Velocity,1,4.113775,0.45,28.98,2006
411,Radial Velocity,2,127.58,5.9,164.2,2008
412,Radial Velocity,2,520.0,2.6,164.2,2008
413,Radial Velocity,1,122.1,0.05,9.24,2010
414,Radial Velocity,1,778.1,5.9,138.5,2011
415,Radial Velocity,1,6.495,0.96,121.07,2010
416,Radial Velocity,1,47.84,0.098,49.33,2009
417,Radial Velocity,1,5.8881,0.367,53.08,2013
418,Radial Velocity,1,55.806,0.186,20.82,2009
419,Radial Velocity,1,199.505,8.3,102.04,2003
420,Radial Velocity,1,1531.0,6.92,37.44,2002
421,Radial Velocity,1,2890.0,11.0,87.87,2011
422,Radial Velocity,1,3630.0,9.61,36.36,2012
424,Radial Velocity,1,48.056,0.21,51.26,2005
425,Radial Velocity,1,10.8985,0.261,38.56,2002
426,Radial Velocity,1,443.4,2.6,138.5,2011
427,Radial Velocity,2,395.8,1.29,68.54,2002
428,Radial Velocity,2,1624.0,0.99,68.54,2005
429,Radial Velocity,1,68.27,0.77,65.62,2010
430,Radial Velocity,2,7.8543,0.054,56.92,2013
431,Radial Velocity,2,30.93,0.076,56.92,2013
432,Radial Velocity,1,5.24,0.28,59.03,2005
433,Radial Velocity,1,835.477,11.09,97.66,2009
434,Radial Velocity,1,1143.0,6.8,28.88,2003
435,Radial Velocity,1,324.0,2.83,37.42,2013
436,Radial Velocity,2,263.3,0.27,15.71,2010
437,Radial Velocity,2,1657.0,0.71,15.71,2010
438,Radial Velocity,2,937.7,1.24,28.04,2003
440,Radial Velocity,1,3827.0,0.48,20.48,2014
441,Radial Velocity,1,83.888,11.68,40.57,1989
442,Radial Velocity,1,493.7,1.1,20.43,2001
443,Radial Velocity,1,1114.0,0.95,35.0,2002
444,Radial Velocity,1,670.0,2.1,110.62,2011
445,Radial Velocity,1,2597.0,1.88,33.01,2004
446,Radial Velocity,1,25.827,0.178,38.02,2004
447,Radial Velocity,1,6.1335,2.13,88.57,2005
448,Radial Velocity,1,2082.0,4.5,97.66,2013
449,Radial Velocity,1,63.33,1.22,44.37,2003
450,Radial Velocity,1,344.95,3.71,133.16,2003
451,Radial Velocity,3,559.4,3.0,52.83,2007
452,Radial Velocity,3,4.1547,0.058,52.83,2009
453,Radial Velocity,3,3008.0,7.2,52.83,2009
454,Radial Velocity,1,9.6737,0.041,27.45,2009
455,Radial Velocity,1,1244.0,0.38,68.35,2009
456,Radial Velocity,1,948.12,0.224,38.05,2011
457,Radial Velocity,2,454.2,1.45,16.57,2002
458,Radial Velocity,2,923.8,3.24,16.57,2005
459,Radial Velocity,1,1840.0,1.6,67.61,2009
460,Radial Velocity,1,10.7085,1.04,29.76,1999
461,Radial Velocity,1,883.0,2.2,121.36,2011
462,Radial Velocity,1,1951.0,18.15,57.21,2008
463,Radial Velocity,1,974.0,5.61,70.97,2007
464,Radial Velocity,1,1544.0,1.49,98.52,2011
465,Radial Velocity,2,3.27,0.0351,24.15,2011
466,Radial Velocity,2,1160.9,0.1507,24.15,2011
467,Radial Velocity,2,258.19,1.59,25.65,1999
468,Radial Velocity,2,5000.0,0.82,25.65,2009
469,Radial Velocity,3,12.083,0.0292,26.91,2011
470,Radial Velocity,3,59.519,0.0382,26.91,2011
471,Radial Velocity,3,459.26,0.121,26.91,2011
472,Radial Velocity,1,464.3,2.0,106.38,2009
473,Radial Velocity,3,11.577,0.0166,14.56,2011
474,Radial Velocity,3,27.582,0.0358,14.56,2011
475,Radial Velocity,3,106.72,0.03,14.56,2011
476,Radial Velocity,1,330.0,0.223,38.45,2011
477,Radial Velocity,1,1125.7,9.76,121.36,2008
478,Radial Velocity,1,653.22,9.7,33.46,2002
479,Radial Velocity,1,1928.0,5.1,35.87,2005
480,Radial Velocity,1,1299.0,1.9,106.38,2011
481,Radial Velocity,1,386.3,1.62,34.57,2003
482,Radial Velocity,1,1057.0,3.12,59.35,2008
483,Radial Velocity,1,176.3,2.9,126.1,2010
484,Radial Velocity,1,103.95,5.76,55.19,2008
485,Radial Velocity,2,44.236,2.12,42.68,2009
486,Radial Velocity,2,1008.0,6.56,42.68,2009
487,Radial Velocity,1,528.4,1.21,12.87,2003
488,Radial Velocity,1,1027.0,0.85,53.05,2009
489,Radial Velocity,1,331.5,0.96,59.28,2009
491,Radial Velocity,1,4.072,1.33,63.49,2005
492,Radial Velocity,1,2.391,15.5,76.51,2009
493,Radial Velocity,1,1096.2,0.168,29.55,2011
494,Radial Velocity,1,2097.0,3.0,85.18,2009
495,Radial Velocity,1,689.0,1.5,182.82,2011
496,Radial Velocity,1,499.4,2.73,51.87,2008
497,Radial Velocity,1,18.596,0.0193,18.08,2011
498,Radial Velocity,1,3342.0,0.947,18.06,2006
499,Radial Velocity,1,163.9,5.02,65.79,2008
500,Radial Velocity,2,408.6,2.24,68.54,2004
501,Radial Velocity,2,3452.0,2.58,68.54,2014
502,Radial Velocity,2,194.3,0.85,43.4,2007
503,Radial Velocity,2,391.9,0.82,43.4,2007
504,Radial Velocity,1,131.05,9.71,35.37,2011
505,Radial Velocity,1,842.0,0.75,55.1,2009
506,Radial Velocity,1,4.6455,0.013,24.05,2010
507,Radial Velocity,1,359.5546,10.57,49.0,2007
508,Radial Velocity,1,104.84,0.12,33.48,2011
509,Radial Velocity,1,521.0,1.8,114.15,2011
510,Radial Velocity,2,12.62,1.13,68.59,2013
511,Radial Velocity,2,248.4,1.9,68.59,2013
512,Radial Velocity,2,1178.4,2.1,52.72,2006
513,Radial Velocity,2,352.3,0.73,52.72,2012
515,Radial Velocity,4,4205.8,1.814,15.28,2004
518,Radial Velocity,1,8.428198,14.4,31.26,2002
519,Radial Velocity,2,75.29,0.77,69.44,2010
520,Radial Velocity,2,1314.0,2.29,69.44,2010
521,Radial Velocity,1,282.4,0.48,51.81,2010
522,Radial Velocity,1,606.4,2.7,37.98,2009
523,Radial Velocity,1,1155.0,0.36,21.92,2005
524,Radial Velocity,1,5144.0,3.53,42.99,2012
525,Radial Velocity,1,420.77,1.7,50.0,2007
526,Radial Velocity,2,58.11289,8.02,37.88,1998
527,Radial Velocity,2,1749.5,18.1,37.88,2000
528,Radial Velocity,1,6.403,0.23,43.12,2002
529,Radial Velocity,2,225.62,2.88,36.32,2000
530,Radial Velocity,2,2102.0,4.04,36.32,2003
531,Radial Velocity,1,1145.0,0.67,64.98,2007
533,Radial Velocity,1,1523.0,2.6,44.05,2009
534,Radial Velocity,1,323.6,2.7,134.95,2008
535,Radial Velocity,1,1290.0,7.8,67.02,2009
536,Radial Velocity,1,297.3,0.61,127.55,2007
538,Radial Velocity,2,406.6,1.49,59.03,1999
539,Radial Velocity,2,110.9,0.15,59.03,2010
540,Radial Velocity,1,71.484,7.03,46.73,2001
541,Radial Velocity,1,14.476,0.08,63.69,2008
542,Radial Velocity,1,3.0925,0.95,27.05,2000
544,Radial Velocity,1,479.0,1.6,114.55,2009
545,Radial Velocity,1,663.0,3.3,115.47,2009
546,Radial Velocity,3,9.3743,0.0238,26.15,2008
547,Radial Velocity,3,962.0,0.64,26.15,2008
548,Radial Velocity,3,2172.0,0.54,26.15,2008
549,Radial Velocity,1,956.0,0.37,55.93,2009
550,Radial Velocity,2,634.23,3.69,52.83,2004
551,Radial Velocity,2,2950.0,3.82,52.83,2008
552,Radial Velocity,1,6.838,0.94,47.37,2006
553,Radial Velocity,1,986.0,0.75,44.98,2006
554,Radial Velocity,2,3.097,0.52,47.92,1998
555,Radial Velocity,2,3810.0,1.99,47.92,1999
556,Radial Velocity,1,456.46,1.26,52.63,2004
557,Radial Velocity,1,14.275,0.0316,17.72,2011
559,Radial Velocity,1,1136.1,5.93,62.11,2002
560,Radial Velocity,2,2891.0,1.502,15.89,2003
561,Radial Velocity,2,17.1,0.057,15.89,2005
562,Radial Velocity,1,1038.1,1.9,54.23,2007
563,Radial Velocity,1,4885.0,3.1,189.39,2009
564,Radial Velocity,1,24.348,0.72,19.89,1999
565,Radial Velocity,2,74.72,0.05318,8.82,2011
566,Radial Velocity,2,525.8,0.07552,8.82,2011
567,Radial Velocity,1,351.5,2.5,67.39,2007
568,Radial Velocity,1,18.20163,3.7,37.35,1999
569,Radial Velocity,1,1289.0,3.0,46.93,2002
570,Radial Velocity,1,3638.0,6.9,43.57,2012
571,Radial Velocity,1,1333.0,2.58,32.99,2007
572,Radial Velocity,1,1035.7,0.79,32.83,2011
573,Radial Velocity,2,613.8,1.85,68.35,2010
574,Radial Velocity,2,825.0,0.895,68.35,2010
575,Radial Velocity,2,255.87,17.4,46.34,2002
576,Radial Velocity,2,1383.4,2.44,46.34,2004
578,Radial Velocity,3,1931.0,4.05,47.3,2009
579,Radial Velocity,3,34.873,0.054,47.3,2011
580,Radial Velocity,3,2831.6,1.68,47.3,2012
581,Radial Velocity,1,1733.0,0.266,26.95,2011
582,Radial Velocity,1,279.8,1.37,90.33,2008
583,Radial Velocity,1,610.0,2.2,170.07,2009
586,Radial Velocity,1,123.0,0.45,43.99,2004
587,Radial Velocity,1,875.5,9.9,352.11,2012
589,Radial Velocity,1,442.1,1.23,21.29,1998
591,Radial Velocity,1,2.245715,0.45,52.72,2005
592,Radial Velocity,1,373.3,2.3,121.8,2009
593,Radial Velocity,1,951.0,4.5,40.75,2001
594,Radial Velocity,2,7.2825,0.0087,21.52,2011
595,Radial Velocity,2,10.866,0.0097,21.52,2011
596,Radial Velocity,2,191.99,0.101,38.64,2011
597,Radial Velocity,2,2277.0,0.246,38.64,2011
598,Radial Velocity,2,3.93,0.017,43.53,2009
599,Radial Velocity,2,567.0,0.33,43.53,2009
600,Radial Velocity,1,1311.0,1.26,33.29,2002
601,Radial Velocity,1,1294.0,2.1,26.52,2002
602,Radial Velocity,1,118.45,0.65,37.89,2003
603,Radial Velocity,2,7.126816,1.39,19.72,1998
604,Radial Velocity,2,4270.0,2.6,19.72,2005
605,Radial Velocity,1,1319.0,13.0,54.92,2010
606,Radial Velocity,1,225.7,0.21,29.94,2010
607,Radial Velocity,1,5501.0,10.39,29.2,2012
609,Radial Velocity,1,3.8335,0.06,81.1,2007
610,Radial Velocity,1,672.1,11.1,289.02,2012
611,Radial Velocity,1,2209.0,1.06,45.23,2012
612,Radial Velocity,1,3724.7,1.45,48.43,2011
613,Radial Velocity,1,456.1,3.09,52.88,2007
614,Radial Velocity,1,3999.0,1.9,50.45,2011
615,Radial Velocity,1,572.38,7.75,41.95,1999
616,Radial Velocity,1,26.73,0.71,94.07,2006
617,Radial Velocity,1,141.6,1.08,108.46,2007
620,Radial Velocity,1,745.7,5.3,307.69,2011
621,Radial Velocity,1,2443.0,2.54,54.92,2009
622,Radial Velocity,1,8.7836,0.0265,9.42,2008
623,Radial Velocity,1,3.369,0.76,50.2,2004
624,Radial Velocity,2,345.72,1.42,44.8,2009
626,Radial Velocity,1,57.0,0.47,23.8,2010
627,Radial Velocity,1,16.2,1.25,223.21,2010
628,Radial Velocity,3,6.673855,3.88,52.88,2005
629,Radial Velocity,3,147.73,1.28,52.88,2006
630,Radial Velocity,3,952.0,0.57,52.88,2009
631,Radial Velocity,1,41.397,0.298,11.03,2010
632,Radial Velocity,3,8.1352,0.036,25.87,2011
633,Radial Velocity,3,32.03,0.41,25.87,2011
634,Radial Velocity,3,431.7,0.527,25.87,2011
636,Radial Velocity,1,124.6,9.18,149.25,2013
637,Radial Velocity,1,17337.5,9.0,23.98,2009
638,Radial Velocity,1,511.098,8.82,31.33,2002
640,Radial Velocity,1,111.7,2.1,14.9,2009
641,Radial Velocity,1,5.0505,1.068,44.46,2013
642,Radial Velocity,1,311.288,1.94,17.24,1999
649,Transit,1,2.7033904,1.47,178.0,2013
784,Radial Velocity,3,580.0,0.947,135.0,2012
